Season,Year,All Stars Season 1,All Stars Season 2,All Stars Season 3,All Stars Season 4,All Stars Season 5
Season 1,2009,TRUE,TRUE,TRUE,TRUE,TRUE
Season 2,2010,TRUE,TRUE,TRUE,TRUE,TRUE
Season 3,2011,TRUE,TRUE,TRUE,TRUE,TRUE
Season 4,2012,TRUE,TRUE,TRUE,TRUE,TRUE
Season 5,2013,FALSE,TRUE,TRUE,TRUE,TRUE
Season 6,2014,FALSE,TRUE,TRUE,TRUE,TRUE
Season 7,2015,FALSE,TRUE,TRUE,TRUE,TRUE
Season 8,2016,FALSE,FALSE,TRUE,TRUE,TRUE
Season 9,2017,FALSE,FALSE,TRUE,TRUE,TRUE
Season 10,2018,FALSE,FALSE,FALSE,TRUE,TRUE
Season 11,2019,FALSE,FALSE,FALSE,FALSE,TRUE
Season 12,2020,FALSE,FALSE,FALSE,FALSE,FALSE
All Stars Season 1,2012,FALSE,TRUE,TRUE,TRUE,TRUE
All Stars Season 2,2016,FALSE,FALSE,TRUE,TRUE,TRUE
All Stars Season 3,2018,FALSE,FALSE,FALSE,TRUE,TRUE
All Stars Season 4,2019,FALSE,FALSE,FALSE,FALSE,TRUE
All Stars Season 5,2020,FALSE,FALSE,FALSE,FALSE,FALSE